,Date,Value
,"Mar 31, 2019",54.94
,"Feb 28, 2019",54.85
,"Jan 31, 2019",54.68
,"Dec 31, 2018",54.38
,"Nov 30, 2018",53.74
,"Oct 31, 2018",53.08
,"Sep 30, 2018",52.7
,"Aug 31, 2018",52.31
,"Jul 31, 2018",51.89
,"Jun 30, 2018",51.44
,"May 31, 2018",51.19
,"Apr 30, 2018",51.07
,"Mar 31, 2018",50.93
,"Feb 28, 2018",50.69
,"Jan 31, 2018",50.55
,"Dec 31, 2017",50.46
,"Nov 30, 2017",50.17
,"Oct 31, 2017",49.91
,"September 30, 2017",49.61
,"Aug 31, 2017",49.55
,"Jul 31, 2017",49.37
,"Jun 30, 2017",49
,"May 31, 2017",48.76
,"Apr 30, 2017",48.51
,"Mar 31, 2017",48.36
,"Feb 28, 2017",48.16
,"Jan 31, 2017",48.08
,"Dec 31, 2016",48.12
,"Nov 30, 2016",47.9
,"Oct 31, 2016",47.59
,"Sep 30, 2016",47.41
,"Aug 31, 2016",47.32
,"Jul 31, 2016",47.17
,"Jun 30, 2016",46.89
,"May 31, 2016",46.84
,"Apr 30, 2016",46.82
,"Mar 31, 2016",46.84
,"Feb 29, 2016",46.86
,"Jan 31, 2016",46.73
,"Dec 31, 2015",46.63
,"Nov 30, 2015",46.16
,"Oct 31, 2015",45.75
,"Sep 30, 2015",45.41
,"Aug 31, 2015",45.07
,"Jul 31, 2015",44.73
,"Jun 30, 2015",44.46
,"May 31, 2015",44.29
,"Apr 30, 2015",44.18
,"Mar 31, 2015",43.93
,"Feb 28, 2015",43.7
,"Jan 31, 2015",43.4
,"Dec 31, 2014",42.7
,"Nov 30, 2014",42.12
,"Oct 31, 2014",41.55
,"Sep 30, 2014",41.11
,"Aug 31, 2014",40.74
,"Jul 31, 2014",40.28
,"Jun 30, 2014",39.87
,"May 31, 2014",39.53
,"Apr 30, 2014",39.26
,"Mar 31, 2014",38.97
,"Feb 28, 2014",38.78
,"Jan 31, 2014",38.47
,"Dec 31, 2013",38.17
,"Nov 30, 2013",37.95
,"Oct 31, 2013",37.66
,"Sep 30, 2013",37.35
,"Aug 31, 2013",36.98
,"Jul 31, 2013",36.61
,"Jun 30, 2013",36.22
,"May 31, 2013",35.88
,"Apr 30, 2013",35.53
,"Mar 31, 2013",35.07
