Category: All categories

Month,Stock Market: (United States)
2004-01,28
2004-02,28
2004-03,26
2004-04,25
2004-05,23
2004-06,19
2004-07,17
2004-08,18
2004-09,19
2004-10,25
2004-11,27
2004-12,25
2005-01,27
2005-02,27
2005-03,26
2005-04,26
2005-05,20
2005-06,18
2005-07,16
2005-08,18
2005-09,19
2005-10,21
2005-11,24
2005-12,21
2006-01,27
2006-02,26
2006-03,23
2006-04,24
2006-05,25
2006-06,20
2006-07,17
2006-08,15
2006-09,18
2006-10,23
2006-11,22
2006-12,21
2007-01,23
2007-02,30
2007-03,30
2007-04,23
2007-05,21
2007-06,19
2007-07,23
2007-08,29
2007-09,22
2007-10,27
2007-11,30
2007-12,23
2008-01,39
2008-02,27
2008-03,31
2008-04,25
2008-05,21
2008-06,20
2008-07,22
2008-08,16
2008-09,59
2008-10,100
2008-11,50
2008-12,34
2009-01,29
2009-02,35
2009-03,45
2009-04,32
2009-05,25
2009-06,21
2009-07,19
2009-08,20
2009-09,22
2009-10,25
2009-11,24
2009-12,21
2010-01,22
2010-02,23
2010-03,23
2010-04,23
2010-05,31
2010-06,20
2010-07,16
2010-08,16
2010-09,18
2010-10,21
2010-11,22
2010-12,21
2011-01,24
2011-02,25
2011-03,25
2011-04,22
2011-05,18
2011-06,17
2011-07,18
2011-08,52
2011-09,25
2011-10,27
2011-11,24
2011-12,22
2012-01,21
2012-02,23
2012-03,21
2012-04,20
2012-05,20
2012-06,16
2012-07,14
2012-08,14
2012-09,16
2012-10,21
2012-11,27
2012-12,18
2013-01,20
2013-02,22
2013-03,22
2013-04,21
2013-05,20
2013-06,18
2013-07,16
2013-08,16
2013-09,23
2013-10,29
2013-11,25
2013-12,22
2014-01,26
2014-02,26
2014-03,24
2014-04,25
2014-05,19
2014-06,16
2014-07,18
2014-08,18
2014-09,20
2014-10,32
2014-11,25
2014-12,29
2015-01,27
2015-02,26
2015-03,26
2015-04,26
2015-05,21
2015-06,21
2015-07,35
2015-08,60
2015-09,40
2015-10,30
2015-11,26
2015-12,26
2016-01,53
2016-02,39
2016-03,30
2016-04,27
2016-05,23
2016-06,35
2016-07,23
2016-08,20
2016-09,23
2016-10,23
2016-11,58
2016-12,29
2017-01,31
2017-02,32
2017-03,32
2017-04,28
2017-05,26
2017-06,25
2017-07,23
2017-08,27
2017-09,24
2017-10,29
2017-11,32
2017-12,34
2018-01,43
2018-02,88
2018-03,48
2018-04,43
2018-05,31
2018-06,32
2018-07,32
2018-08,33
2018-09,31
2018-10,62
2018-11,48
2018-12,77
