    Year    Month          VRP         EVRP           IV           RV          ERV
    1990        1      35.9054      35.9054      53.5941      17.6888      17.6888
    1990        2      32.9177      15.4492      40.2967       7.3790      24.8475
    1990        3      26.5978      16.0745      32.4394       5.8416      16.3649
    1990        4      26.2753      18.6211      31.7525       5.4773      13.1314
    1990        5      19.2201      12.3841      25.1431       5.9229      12.7589
    1990        6      13.0796       9.3027      20.0208       6.9412      10.7181
    1990        7      26.9870      27.7368      37.1360      10.1490       9.3993
    1990        8      51.0203      58.1133      74.5008      23.4805      16.3875
    1990        9      57.6982      36.5006      70.6160      12.9178      34.1155
    1990       10      52.1602      46.5117      75.2001      23.0400      28.6884
    1990       11      30.4216       6.7444      40.9221      10.5006      34.1778
    1990       12      50.2439      40.1984      57.9920       7.7481      17.7936
    1991        1      19.8734      13.9967      36.4357      16.5623      22.4390
    1991        2      24.7257      18.9019      37.5594      12.8337      18.6575
    1991        3      14.9701       6.1666      23.7445       8.7745      17.5779
    1991        4      18.0895      16.3617      27.7248       9.6353      11.3631
    1991        5      14.6129       8.1140      21.1471       6.5342      13.0331
    1991        6      26.4061      22.2325      31.8502       5.4441       9.6177
    1991        7      12.7010       6.4240      19.2027       6.5017      12.7787
    1991        8       9.5733       8.4709      17.4243       7.8510       8.9534
    1991        9      16.4127      12.0508      20.9352       4.5225       8.8844
    1991       10      15.0544      11.2081      19.9692       4.9148       8.7611
    1991       11      24.8364      25.6151      34.2056       9.3693       8.5906
    1991       12      22.9771      15.9720      31.0730       8.0959      15.1010
    1992        1      17.0722      11.6761      25.2300       8.1578      13.5539
    1992        2      18.2210      11.5652      23.1852       4.9642      11.6200
    1992        3      17.3270      12.1285      21.8160       4.4891       9.6876
    1992        4      13.3759      11.0552      20.0984       6.7225       9.0432
    1992        5      12.2742       6.6685      16.0083       3.7341       9.3398
    1992        6      10.3259       8.0498      14.8519       4.5260       6.8021
    1992        7       9.6272       7.7302      14.4541       4.8269       6.7238
    1992        8      11.7631       8.6600      15.3680       3.6049       6.7081
    1992        9      13.9343      10.4561      16.9932       3.0589       6.5371
    1992       10      14.4022      14.8667      21.7352       7.3330       6.8685
    1992       11      11.2196       3.9782      14.1050       2.8854      10.1268
    1992       12      10.2534       7.3343      13.1671       2.9137       5.8328
    1993        1       9.4876       7.3251      12.8547       3.3671       5.5296
    1993        2       9.3831       8.8302      14.4321       5.0490       5.6020
    1993        3       7.9175       6.2960      13.0834       5.1659       6.7874
    1993        4       8.0936       6.4736      12.8547       4.7611       6.3811
    1993        5      10.7938       8.9737      15.1201       4.3263       6.1464
    1993        6       7.3938       3.8299      10.5656       3.1719       6.7357
    1993        7       8.7477       6.7074      11.4661       2.7184       4.7586
    1993        8       9.4471       6.8186      11.7019       2.2547       4.8833
    1993        9      10.4017       9.2805      14.0617       3.6600       4.7812
    1993       10       8.5069       4.8235      10.9443       2.4374       6.1208
    1993       11      12.1877      11.1794      15.7781       3.5904       4.5987
    1993       12       9.6009       4.6608      11.3296       1.7288       6.6689
    1994        1       7.3580       4.9654       9.4164       2.0584       4.4511
    1994        2      14.4292      14.4878      18.4264       3.9972       3.9386
    1994        3      27.0343      27.1350      34.8502       7.8160       7.7152
    1994        4       8.0452       1.0907      15.8011       7.7559      14.7104
    1994        5       9.6803       5.8451      14.1484       4.4681       8.3033
    1994        6      14.6630      12.2096      18.6751       4.0121       6.4655
    1994        7       7.8015       2.5187      10.3231       2.5216       7.8043
    1994        8       9.0176       7.5167      11.9401       2.9225       4.4234
    1994        9      13.3732      11.8714      16.9932       3.6200       5.1218
    1994       10      12.8008      10.5786      17.6661       4.8654       7.0876
    1994       11      14.5262      13.4007      21.2002       6.6740       7.7995
    1994       12      10.4366       4.8299      14.5200       4.0834       9.6901
    1995        1       9.1658       5.4804      11.9201       2.7543       6.4398
    1995        2       9.4248       6.4557      11.5052       2.0804       5.0495
    1995        3      11.0168      10.2492      14.8964       3.8796       4.6472
    1995        4       8.9891       5.0189      11.5052       2.5161       6.4863
    1995        5       9.2506       8.9428      13.7602       4.5096       4.8174
    1995        6       6.2258       4.4404      10.7920       4.5662       6.3516
    1995        7      10.2589       9.7859      15.1650       4.9061       5.3791
    1995        8       7.4287       4.0820      11.0592       3.6305       6.9772
    1995        9      10.6570       8.4225      13.5256       2.8687       5.1031
    1995       10      11.5482      10.3069      15.9391       4.3909       5.6321
    1995       11       8.5363       4.1393      11.1747       2.6384       7.0354
    1995       12       9.2318       8.3081      13.0625       3.8307       4.7544
    1996        1       6.2807       7.2307      13.0834       6.8027       5.8527
    1996        2      15.4671      17.1764      24.1968       8.7297       7.0204
    1996        3      18.9536      18.2074      29.7045      10.7509      11.4972
    1996        4      14.1619       6.7502      20.8824       6.7205      14.1323
    1996        5      14.2560      11.9186      21.5204       7.2644       9.6018
    1996        6      10.4794       5.5672      15.5952       5.1158      10.0280
    1996        7      13.3234      24.3544      31.5576      18.2343       7.2033
    1996        8      19.5613       6.4359      24.1117       4.5503      17.6758
    1996        9      18.2089      14.1055      23.9419       5.7330       9.8364
    1996       10      22.4557      17.0896      27.3310       4.8753      10.2414
    1996       11      19.6608      13.4395      24.4816       4.8208      11.0422
    1996       12      25.1198      26.4045      36.4705      11.3508      10.0660
    1997        1      18.5619      14.9562      31.5901      13.0282      16.6339
    1997        2      27.3941      21.4474      37.1008       9.7068      15.6535
    1997        3      28.2277      24.6453      40.8483      12.6206      16.2030
    1997        4      18.0430      14.9368      33.5336      15.4906      18.5968
    1997        5      16.7757      13.4215      30.6880      13.9123      17.2665
    1997        6      27.5567      22.9319      38.6284      11.0717      15.6965
    1997        7      24.8431      21.2012      38.4492      13.6061      17.2480
    1997        8      28.4250      32.9104      51.0881      22.6631      18.1778
    1997        9      30.3751      17.7886      43.7390      13.3639      25.9504
    1997       10      64.1708      82.7532     102.6090      38.4382      19.8558
    1997       11      46.3770      13.3239      62.7004      16.3234      49.3765
    1997       12      34.0974      20.6742      48.0400      13.9426      27.3658
    1998        1      22.6180      16.8902      38.4134      15.7954      21.5232
    1998        2      21.2434       9.6544      28.6752       7.4318      19.0208
    1998        3      41.0088      36.3930      48.8840       7.8752      12.4911
    1998        4      27.3293      17.9463      37.3827      10.0534      19.4364
    1998        5      28.0328      21.4457      37.8785       9.8457      16.4329
    1998        6      18.8789      15.8558      32.3737      13.4947      16.5179
    1998        7      37.6684      35.1550      51.2533      13.5850      16.0983
    1998        8     115.8531     140.9329     163.3932      47.5401      22.4603
    1998        9      71.2983      66.4412     139.7419      68.4436      73.3007
    1998       10      12.0462      -7.9717      65.5669      53.5207      73.5386
    1998       11      43.6925      13.5230      56.3767      12.6842      42.8537
    1998       12      32.2986      25.8693      49.6947      17.3961      23.8254
    1999        1      33.8067      33.9955      57.4219      23.6152      23.4264
    1999        2      39.5440      36.3298      64.7745      25.2306      28.4447
    1999        3      24.9518      13.5461      45.0856      20.1338      31.5396
    1999        4      29.5311      29.4243      52.3754      22.8443      22.9511
    1999        5      28.6386      27.2685      53.7210      25.0824      26.4525
    1999        6      20.7194       9.2881      37.0657      16.3462      27.7775
    1999        7      38.3755      31.8099      50.5941      12.2187      18.7843
    1999        8      31.0145      28.1111      49.8169      18.8024      21.7058
    1999        9      32.0597      29.7891      53.8057      21.7460      24.0166
    1999       10      15.9112      14.5671      41.0700      25.1588      26.5029
    1999       11      33.9662      25.1548      48.7227      14.7565      23.5679
    1999       12      35.7088      28.5243      50.5941      14.8853      22.0698
    2000        1      23.8921      29.1280      51.8752      27.9831      22.7472
    2000        2      18.8877      17.2212      45.5131      26.6254      28.2918
    2000        3      10.4004      22.8115      48.4410      38.0406      25.6296
    2000        4      -9.7240      26.1344      57.2033      66.9273      31.0689
    2000        5      10.8624       1.3234      46.6102      35.7478      45.2868
    2000        6      13.1297       2.2577      31.8176      18.6880      29.5599
    2000        7      22.2400      17.9055      35.8456      13.6056      17.9401
    2000        8      12.9085       6.3270      23.6321      10.7236      17.3051
    2000        9      16.0563      23.1737      35.2604      19.2041      12.0867
